application_id,continent,applicant_country,visa_type,processing_center,application_date,biometrics_date,biometrics_delay_days,decision_date,processing_days,document_verification_delay,employer,employer_size,salary_usd,applicant_age,education_level,has_job_experience,full_time_flag,case_status,fraud_risk_score,sponsor_country
APP000016,Africa,South Africa,Work (Other),Tokyo Consulate,03-02-2022,25-02-2022,22,11-05-2022,97,15,N/A,0,0,30,High School,N,Y,Withdrawn,0.136,N/A
APP000017,Europe,France,L1,Hyderabad Consulate,29-12-2020,16-01-2021,18,19-04-2021,111,0,TechSolutions,820,41849,42,Bachelor's,N,Y,Approved,0.196,France
APP000018,South America,Brazil,Business,Tokyo Consulate,02-12-2019,24-01-2020,53,02-01-2020,31,12,BuildIt,1606,22435,40,Master's,Y,N,Approved,0.205,Brazil
APP000019,Oceania,Australia,F1,Toronto Consulate,04-04-2022,19-04-2022,15,04-06-2022,61,4,MediHealth,387,7326,23,High School,Y,N,Approved,0.154,Australia
APP000020,North America,Mexico,Tourist,Hyderabad Consulate,21-08-2021,06-09-2021,16,18-10-2021,58,5,InfoCorp,113,39112,18,Master's,Y,Y,Approved,0.212,Mexico
APP000021,Asia,China,H1B,Dubai Consulate,16-07-2021,16-07-2021,0,16-12-2021,153,1,TechSolutions,554,7755,39,PhD,N,Y,Approved,0.084,China
APP000022,Africa,South Africa,H4,Hyderabad Consulate,12-05-2024,12-05-2024,0,19-07-2024,68,2,MediHealth,2622,9640,51,Bachelor's,Y,Y,Approved,0.261,South Africa
APP000023,South America,Chile,B1/B2,Tokyo Consulate,07-08-2023,20-08-2023,13,06-09-2023,30,4,InfoCorp,329,20487,36,Bachelor's,Y,Y,Approved,0.269,Chile
APP000024,Africa,Egypt,F1,Bangalore Consulate,26-07-2019,18-08-2019,23,01-11-2019,98,0,N/A,0,0,20,High School,N,N,Denied,0.194,N/A
APP000025,Europe,Netherlands,Tourist,Sydney Consulate,12-12-2020,09-01-2021,28,19-01-2021,38,13,BuildIt,67,10235,46,Master's,Y,N,Approved,0.222,Netherlands
APP000026,South America,Colombia,Business,New York Consulate,22-01-2022,04-02-2022,13,21-02-2022,30,0,N/A,0,0,38,PhD,Y,N,Approved,0.195,N/A
APP000027,Europe,Germany,Tourist,Toronto Consulate,08-01-2019,14-01-2019,6,21-01-2019,13,10,BuildIt,200,19929,52,Bachelor's,Y,Y,Approved,0.262,Germany
APP000028,Asia,Philippines,H4,Chennai Consulate,14-01-2025,26-01-2025,12,20-03-2025,65,14,FinServ,494,29234,27,Master's,Y,Y,Denied,0.204,Philippines
APP000029,Europe,Poland,Family,New York Consulate,08-09-2024,25-09-2024,17,07-12-2024,90,2,InfoCorp,1438,26166,35,Bachelor's,N,Y,Withdrawn,0.161,Poland
APP000030,Asia,Pakistan,Student (Other),Berlin Consulate,02-04-2023,18-04-2023,16,26-07-2023,115,4,FinServ,425,7840,24,High School,Y,N,Denied,0.337,Pakistan
APP000031,Oceania,New Zealand,Tourist,San Francisco Consulate,17-02-2018,18-02-2018,1,28-02-2018,11,8,EduWorld,1132,5518,38,Bachelor's,Y,N,Denied,0.377,New Zealand
APP000032,South America,Brazil,Family,Chicago Consulate,09-01-2024,06-02-2024,28,23-03-2024,74,0,N/A,0,0,18,PhD,N,N,Approved,0.135,N/A
APP000033,North America,Mexico,L1,Mumbai Consulate,17-04-2021,17-04-2021,0,20-07-2021,94,0,BuildIt,1837,46249,22,PhD,Y,Y,Approved,0.238,Mexico
APP000034,Africa,Kenya,Work (Other),Delhi Consulate,14-12-2020,07-01-2021,24,02-04-2021,109,4,MediHealth,3125,43399,30,Diploma,Y,N,Approved,0.108,Kenya
APP000035,Oceania,Australia,Tourist,Chicago Consulate,12-03-2019,12-03-2019,0,25-04-2019,44,2,GlobalHire,71,31554,33,Bachelor's,N,Y,Approved,0.209,Australia
APP000036,South America,Chile,Family,Sydney Consulate,30-10-2024,04-11-2024,5,24-01-2025,86,0,FinServ,603,19016,38,Diploma,Y,N,Approved,0.132,Chile
APP000037,Europe,Germany,L1,Dubai Consulate,24-10-2019,01-11-2019,8,08-01-2020,76,2,TechSolutions,178,78819,30,Bachelor's,N,Y,Approved,0.18,Germany
APP000038,Oceania,Australia,Business,London Consulate,25-06-2023,23-07-2023,28,05-07-2023,10,3,TechSolutions,216,15621,19,Bachelor's,N,Y,Approved,0.273,Australia
APP000039,Asia,India,L1,Chicago Consulate,13-06-2021,14-07-2021,31,23-09-2021,102,2,InfoCorp,1851,1000,26,High School,Y,Y,Approved,0.228,India
APP000040,Europe,UK,B1/B2,Chicago Consulate,12-05-2024,13-05-2024,1,09-07-2024,58,0,MediHealth,402,16475,26,Bachelor's,Y,Y,Withdrawn,0.152,UK
APP000041,Asia,India,Work (Other),San Francisco Consulate,11-10-2018,23-10-2018,12,07-01-2019,88,11,GlobalHire,275,31730,28,High School,Y,Y,Withdrawn,0.133,India
APP000042,Oceania,Australia,F1,Tokyo Consulate,01-05-2023,21-05-2023,20,06-08-2023,97,4,TechSolutions,530,12641,17,Master's,Y,Y,Approved,0.11,Australia
APP000043,Oceania,Australia,J1,Sydney Consulate,20-10-2024,14-11-2024,25,30-01-2025,102,0,GlobalHire,129,22141,18,Bachelor's,Y,Y,Withdrawn,0.123,Australia
APP000044,Africa,Kenya,Tourist,Dubai Consulate,03-04-2020,11-04-2020,8,05-05-2020,32,13,EduWorld,872,5838,38,Master's,Y,Y,Approved,0.292,Kenya
APP000045,South America,Chile,Student (Other),Tokyo Consulate,15-04-2025,15-04-2025,0,14-07-2025,90,3,TechSolutions,293,8404,25,Bachelor's,N,Y,Approved,0.125,Chile
APP000046,North America,Canada,Tourist,Toronto Consulate,11-05-2019,02-06-2019,22,02-07-2019,52,3,TechSolutions,173,18086,37,High School,N,N,Approved,0.229,Canada
APP000047,Europe,Germany,H4,London Consulate,28-03-2018,16-04-2018,19,19-05-2018,52,1,N/A,0,0,39,Bachelor's,N,Y,Approved,0.205,N/A
APP000048,Oceania,Australia,Business,Hyderabad Consulate,30-01-2018,04-03-2018,33,15-03-2018,44,5,TechSolutions,258,27710,39,Bachelor's,Y,Y,Denied,0.16,Australia
APP000049,Asia,UAE,Family,Delhi Consulate,26-07-2020,02-08-2020,7,20-10-2020,86,10,TechSolutions,483,41148,35,Master's,Y,N,Denied,0.223,UAE
APP000050,Asia,India,L1,Mumbai Consulate,07-10-2023,20-10-2023,13,07-03-2024,152,12,N/A,0,0,26,PhD,N,Y,Denied,0.095,N/A
APP000051,Europe,France,Family,Toronto Consulate,27-05-2020,08-06-2020,12,19-09-2020,115,12,InfoCorp,1177,15337,18,Bachelor's,Y,N,Approved,0.094,France
APP000052,Oceania,Australia,Business,Berlin Consulate,21-04-2023,17-05-2023,26,26-04-2023,5,2,N/A,0,0,53,High School,N,Y,Withdrawn,0.251,N/A
APP000053,Europe,Poland,Work (Other),Dubai Consulate,26-07-2022,02-08-2022,7,15-10-2022,81,11,MediHealth,204,42985,36,Diploma,Y,Y,Approved,0.165,Poland
APP000054,Europe,UK,H4,Tokyo Consulate,01-11-2022,08-11-2022,7,29-01-2023,89,1,EduWorld,28,10579,20,Bachelor's,Y,Y,Approved,0.199,UK
APP000055,North America,Canada,Student (Other),Toronto Consulate,10-08-2018,21-08-2018,11,03-12-2018,115,1,TechSolutions,445,9348,18,High School,Y,N,Denied,0.232,Canada
APP000056,South America,Brazil,H1B,New York Consulate,21-10-2021,15-11-2021,25,09-04-2022,170,11,InfoCorp,158,6604,28,Bachelor's,Y,Y,Approved,0.039,Brazil
APP000057,Asia,China,B1/B2,Hyderabad Consulate,06-01-2024,22-01-2024,16,08-02-2024,33,0,GlobalHire,1066,19752,48,Bachelor's,Y,N,Approved,0.23,China
APP000058,Africa,Kenya,Student (Other),Chennai Consulate,14-02-2021,05-03-2021,19,16-05-2021,91,4,InfoCorp,446,1852,25,Diploma,Y,Y,Denied,0.166,Kenya
APP000059,Africa,Kenya,H4,Toronto Consulate,04-03-2024,12-03-2024,8,09-05-2024,66,0,TechSolutions,344,26452,18,Diploma,N,Y,Approved,0.142,Kenya
APP000060,Asia,India,Family,Sydney Consulate,02-03-2018,24-03-2018,22,04-06-2018,94,13,MediHealth,166,36650,26,High School,Y,Y,Approved,0.364,India
APP000061,Asia,Philippines,B1/B2,Chennai Consulate,23-07-2022,13-08-2022,21,21-09-2022,60,2,InfoCorp,482,17321,34,Bachelor's,N,N,Approved,0.151,Philippines
APP000062,Africa,Egypt,B1/B2,San Francisco Consulate,01-07-2022,26-07-2022,25,17-07-2022,16,6,N/A,0,0,40,Master's,N,Y,Approved,0.26,N/A
APP000063,Asia,China,Student (Other),Delhi Consulate,19-05-2022,12-06-2022,24,29-08-2022,102,17,N/A,0,0,21,PhD,Y,N,Denied,0.145,N/A
APP000064,North America,Canada,J1,New York Consulate,26-03-2024,05-04-2024,10,23-06-2024,89,6,InfoCorp,665,11660,33,Bachelor's,N,Y,Approved,0.169,Canada
APP000065,South America,Colombia,F1,Hyderabad Consulate,30-04-2021,06-06-2021,37,03-08-2021,95,8,N/A,0,0,22,PhD,Y,N,Approved,0.164,N/A
APP000066,Europe,UK,Business,Paris Consulate,30-01-2024,06-02-2024,7,15-02-2024,16,1,TechSolutions,69,17597,24,High School,Y,N,Approved,0.379,UK
APP000067,Asia,UAE,L1,Delhi Consulate,25-07-2018,11-08-2018,17,13-12-2018,141,0,BuildIt,341,23488,28,PhD,Y,N,Approved,0.325,UAE
APP000068,Oceania,New Zealand,Tourist,Chicago Consulate,16-12-2023,25-12-2023,9,05-02-2024,51,17,BuildIt,221,16032,49,Master's,Y,N,Approved,0.242,New Zealand
APP000069,Europe,UK,Tourist,Mumbai Consulate,01-02-2020,15-02-2020,14,12-03-2020,40,4,InfoCorp,280,24670,45,High School,Y,Y,Approved,0.32,UK
APP000070,Asia,Bangladesh,H4,Tokyo Consulate,21-08-2020,30-08-2020,9,03-10-2020,43,3,N/A,0,0,60,Master's,Y,N,Approved,0.253,N/A
APP000071,Africa,Nigeria,Business,Hyderabad Consulate,29-06-2024,12-07-2024,13,30-07-2024,31,9,N/A,0,0,42,Master's,N,N,Approved,0.243,N/A
APP000072,Oceania,Australia,Business,Mumbai Consulate,14-09-2022,29-09-2022,15,15-10-2022,31,1,BuildIt,661,18194,36,Bachelor's,Y,N,Approved,0.209,Australia
APP000073,South America,Chile,J1,Hyderabad Consulate,10-07-2021,04-08-2021,25,27-09-2021,79,13,N/A,0,0,20,High School,N,N,Approved,0.15,N/A
APP000074,Europe,France,Student (Other),Chennai Consulate,28-03-2025,11-04-2025,14,04-06-2025,68,0,InfoCorp,1058,11835,26,Bachelor's,Y,Y,Withdrawn,0.149,France
APP000075,North America,Canada,L1,Chicago Consulate,25-10-2018,08-11-2018,14,18-02-2019,116,14,FinServ,1238,116210,25,Bachelor's,Y,Y,Approved,0.164,Canada
APP000076,Asia,Pakistan,Business,Berlin Consulate,14-02-2019,05-03-2019,19,25-02-2019,11,3,FinServ,206,27604,38,Master's,N,N,Approved,0.246,Pakistan
APP000077,Asia,Bangladesh,B1/B2,Sydney Consulate,22-12-2020,01-01-2021,10,02-01-2021,11,3,InfoCorp,586,13940,31,High School,Y,Y,Approved,0.193,Bangladesh
APP000078,Europe,France,H4,Chicago Consulate,27-09-2020,11-10-2020,14,15-11-2020,49,9,FinServ,202,28188,25,Bachelor's,N,Y,Approved,0.284,France
APP000079,North America,Canada,F1,Toronto Consulate,04-02-2024,13-02-2024,9,29-04-2024,85,0,GlobalHire,167,10188,21,Bachelor's,Y,Y,Approved,0.198,Canada
APP000080,South America,Chile,Business,Dubai Consulate,02-05-2025,23-05-2025,21,02-06-2025,31,10,InfoCorp,181,34495,43,Bachelor's,N,Y,Denied,0.305,Chile
APP000081,Oceania,Australia,Family,San Francisco Consulate,21-03-2024,05-04-2024,15,04-06-2024,75,7,MediHealth,278,21636,29,Bachelor's,Y,Y,Approved,0.194,Australia
APP000082,North America,Mexico,H4,Chicago Consulate,05-07-2019,04-08-2019,30,07-09-2019,64,6,GlobalHire,498,28728,30,Bachelor's,Y,N,Approved,0.191,Mexico
APP000083,North America,USA,H4,Paris Consulate,16-03-2024,04-04-2024,19,14-06-2024,90,1,MediHealth,78,15417,36,Bachelor's,Y,N,Approved,0.175,USA
APP000084,Europe,France,J1,Berlin Consulate,12-05-2020,12-05-2020,0,26-07-2020,75,3,GlobalHire,301,18746,46,Diploma,Y,N,Approved,0.135,France
APP000085,South America,Chile,B1/B2,Tokyo Consulate,10-02-2025,10-02-2025,0,13-02-2025,3,0,N/A,0,0,32,Diploma,Y,Y,Denied,0.242,N/A
APP000086,North America,Mexico,Work (Other),Bangalore Consulate,28-07-2018,16-08-2018,19,15-11-2018,110,3,InfoCorp,679,56941,34,Bachelor's,N,Y,Approved,0.143,Mexico
APP000087,Asia,UAE,Student (Other),San Francisco Consulate,07-02-2021,03-03-2021,24,25-04-2021,77,3,InfoCorp,353,4825,23,High School,Y,N,Withdrawn,0.242,UAE
APP000088,Asia,India,L1,Dubai Consulate,20-06-2019,24-07-2019,34,21-10-2019,123,5,TechSolutions,7614,21230,28,Master's,Y,N,Denied,0.136,India
APP000089,South America,Chile,F1,Paris Consulate,15-12-2022,15-01-2023,31,04-03-2023,79,13,N/A,0,0,22,Bachelor's,N,Y,Approved,0.134,N/A
APP000090,Oceania,New Zealand,Tourist,Delhi Consulate,04-04-2019,06-04-2019,2,12-05-2019,38,2,MediHealth,313,24515,46,Master's,N,N,Approved,0.21,New Zealand
APP000091,Asia,UAE,F1,Sydney Consulate,28-05-2018,28-06-2018,31,05-08-2018,69,2,GlobalHire,112,1781,26,Diploma,Y,Y,Approved,0.32,UAE
APP000092,North America,Mexico,Tourist,Chennai Consulate,27-10-2022,27-10-2022,0,25-11-2022,29,2,MediHealth,203,16366,21,Bachelor's,Y,N,Approved,0.246,Mexico
APP000093,Europe,UK,J1,London Consulate,13-06-2018,29-06-2018,16,31-07-2018,48,0,TechSolutions,313,23136,40,Bachelor's,Y,Y,Approved,0.263,UK
APP000094,North America,USA,Family,Hyderabad Consulate,24-06-2025,25-06-2025,1,29-09-2025,97,5,EduWorld,874,18925,36,Master's,Y,Y,Approved,0.152,USA
APP000095,Asia,Japan,Tourist,Chicago Consulate,23-07-2022,25-07-2022,2,12-09-2022,51,10,InfoCorp,646,21113,38,Diploma,Y,N,Approved,0.173,Japan
APP000096,Oceania,Australia,B1/B2,San Francisco Consulate,28-10-2019,15-11-2019,18,07-11-2019,10,3,FinServ,230,21915,23,Master's,N,Y,Approved,0.25,Australia
APP000097,Europe,Italy,H1B,Chennai Consulate,22-09-2021,12-10-2021,20,02-02-2022,133,0,TechSolutions,1736,6293,31,Master's,Y,Y,Approved,0.274,Italy
APP000098,Africa,Kenya,J1,Chennai Consulate,19-03-2019,19-03-2019,0,19-05-2019,61,8,InfoCorp,198,13927,37,Master's,N,Y,Approved,0.149,Kenya
APP000099,Africa,Nigeria,Work (Other),Hyderabad Consulate,28-03-2020,18-04-2020,21,07-07-2020,101,0,InfoCorp,613,51166,26,Bachelor's,Y,Y,Approved,0.279,Nigeria
APP000100,Africa,South Africa,J1,San Francisco Consulate,21-07-2020,10-08-2020,20,06-10-2020,77,3,TechSolutions,135,17468,36,Bachelor's,Y,N,Approved,0.228,South Africa
APP000101,Europe,UK,Family,Hyderabad Consulate,21-06-2022,21-06-2022,0,27-08-2022,67,4,N/A,0,0,26,Bachelor's,Y,Y,Denied,0.202,N/A
APP000102,North America,Canada,H4,Dubai Consulate,17-02-2021,26-02-2021,9,28-04-2021,70,2,N/A,0,0,34,Master's,N,N,Approved,0.17,N/A
APP000103,North America,Mexico,Tourist,New York Consulate,06-01-2024,22-01-2024,16,24-01-2024,18,5,N/A,0,0,32,Master's,N,Y,Approved,0.208,N/A
APP000104,North America,USA,H4,Chicago Consulate,05-12-2020,22-12-2020,17,07-03-2021,92,16,TechSolutions,219,18504,40,Bachelor's,Y,Y,Approved,0.126,USA
APP000105,Europe,Spain,J1,Delhi Consulate,21-03-2019,31-03-2019,10,08-06-2019,79,0,InfoCorp,1364,18292,29,Diploma,Y,Y,Approved,0.188,Spain
APP000106,Oceania,New Zealand,L1,Paris Consulate,08-07-2021,04-08-2021,27,08-09-2021,62,0,FinServ,1042,10302,37,Master's,Y,Y,Approved,0.185,New Zealand
APP000107,Africa,Ghana,Tourist,Mumbai Consulate,27-04-2022,11-05-2022,14,24-06-2022,58,3,GlobalHire,30,15630,25,Bachelor's,Y,N,Approved,0.157,Ghana
APP000108,Oceania,Australia,J1,Delhi Consulate,22-11-2022,22-11-2022,0,27-02-2023,97,11,EduWorld,102,7091,32,PhD,N,Y,Approved,0.128,Australia
APP000109,Asia,Bangladesh,Tourist,Tokyo Consulate,18-03-2020,03-04-2020,16,01-04-2020,14,5,N/A,0,0,28,Bachelor's,Y,N,Approved,0.231,N/A
APP000110,North America,Canada,H4,Tokyo Consulate,14-09-2021,21-09-2021,7,24-12-2021,101,5,InfoCorp,104,12227,28,Diploma,Y,Y,Approved,0.188,Canada
APP000111,Oceania,New Zealand,Family,San Francisco Consulate,26-05-2019,22-06-2019,27,21-08-2019,87,4,EduWorld,189,17418,41,Bachelor's,Y,N,Approved,0.223,New Zealand
APP000112,South America,Chile,Tourist,Bangalore Consulate,24-06-2025,11-07-2025,17,05-07-2025,11,2,FinServ,280,13286,18,Bachelor's,N,Y,Approved,0.229,Chile
APP000113,Africa,South Africa,Student (Other),Paris Consulate,26-04-2021,02-05-2021,6,06-07-2021,71,12,N/A,0,0,24,Bachelor's,N,N,Approved,0.145,N/A
APP000114,Oceania,Australia,B1/B2,New York Consulate,16-06-2025,24-07-2025,38,23-07-2025,37,8,N/A,0,0,28,Diploma,Y,N,Approved,0.273,N/A
APP000115,Africa,Kenya,Business,Berlin Consulate,17-05-2021,05-06-2021,19,25-05-2021,8,5,N/A,0,0,28,Bachelor's,Y,Y,Approved,0.343,N/A
APP000116,Africa,Ghana,H1B,Bangalore Consulate,21-03-2021,21-03-2021,0,28-08-2021,160,4,BuildIt,122,48892,28,High School,N,Y,Approved,0.054,Ghana
APP000117,Europe,Italy,Business,Berlin Consulate,05-05-2025,03-06-2025,29,22-05-2025,17,10,EduWorld,277,33815,18,Bachelor's,N,Y,Approved,0.329,Italy
APP000118,North America,Canada,Work (Other),Toronto Consulate,25-05-2020,08-06-2020,14,10-10-2020,138,4,MediHealth,229,93691,44,Bachelor's,N,N,Approved,0.208,Canada
APP000119,Oceania,New Zealand,F1,Tokyo Consulate,14-12-2018,20-12-2018,6,04-04-2019,111,2,FinServ,256,10442,20,Bachelor's,Y,Y,Approved,0.147,New Zealand
APP000120,North America,Mexico,Family,Tokyo Consulate,11-12-2024,20-12-2024,9,06-03-2025,85,4,BuildIt,321,12324,45,Bachelor's,Y,Y,Approved,0.21,Mexico
APP000121,North America,USA,B1/B2,Tokyo Consulate,25-06-2021,09-07-2021,14,10-07-2021,15,3,EduWorld,348,24108,23,High School,N,Y,Approved,0.28,USA
APP000122,Europe,Poland,B1/B2,Chennai Consulate,11-04-2018,22-04-2018,11,05-05-2018,24,1,TechSolutions,867,29815,32,Bachelor's,N,Y,Approved,0.339,Poland
APP000123,Asia,China,Work (Other),Berlin Consulate,26-10-2018,10-11-2018,15,20-02-2019,117,2,InfoCorp,191,1000,33,Bachelor's,N,Y,Approved,0.215,China
APP000124,Africa,Egypt,Family,Berlin Consulate,07-03-2020,28-03-2020,21,15-06-2020,100,4,FinServ,541,9147,34,Bachelor's,Y,Y,Approved,0.146,Egypt
APP000125,South America,Colombia,Work (Other),New York Consulate,26-09-2020,02-10-2020,6,16-12-2020,81,3,BuildIt,429,43528,31,Bachelor's,Y,N,Denied,0.143,Colombia
APP000126,Europe,Netherlands,H1B,Chicago Consulate,13-03-2019,08-04-2019,26,22-07-2019,131,0,MediHealth,411,25439,40,Master's,Y,Y,Approved,0.093,Netherlands
APP000127,Africa,Kenya,F1,Dubai Consulate,23-10-2023,06-11-2023,14,02-01-2024,71,1,N/A,0,0,22,Master's,Y,Y,Approved,0.179,N/A
APP000128,Africa,Nigeria,Tourist,Hyderabad Consulate,13-05-2019,04-06-2019,22,05-06-2019,23,1,FinServ,263,29187,20,Master's,Y,N,Approved,0.219,Nigeria
APP000129,Africa,Kenya,Work (Other),Tokyo Consulate,16-12-2023,07-01-2024,22,03-03-2024,78,1,GlobalHire,173,33304,33,Diploma,Y,N,Approved,0.185,Kenya
APP000130,Oceania,New Zealand,Work (Other),Berlin Consulate,30-08-2023,05-09-2023,6,19-11-2023,81,0,EduWorld,139,48566,37,High School,Y,Y,Approved,0.206,New Zealand
APP000131,Africa,Ghana,Work (Other),Chicago Consulate,14-10-2019,14-10-2019,0,07-01-2020,85,3,GlobalHire,1506,66342,31,Master's,Y,Y,Approved,0.15,Ghana
APP000132,South America,Colombia,Work (Other),Bangalore Consulate,09-10-2020,04-11-2020,26,22-01-2021,105,3,BuildIt,1362,70426,29,PhD,Y,Y,Approved,0.11,Colombia
APP000133,South America,Chile,Tourist,Toronto Consulate,11-01-2025,27-01-2025,16,21-01-2025,10,5,BuildIt,311,26970,18,Diploma,Y,Y,Approved,0.276,Chile
APP000134,Europe,France,Work (Other),Mumbai Consulate,16-03-2021,02-04-2021,17,06-07-2021,112,0,N/A,0,0,43,Bachelor's,Y,N,Approved,0.147,N/A
APP000135,Europe,France,L1,London Consulate,22-01-2024,13-02-2024,22,10-05-2024,109,1,N/A,0,0,29,Master's,N,N,Approved,0.213,N/A
APP000136,Asia,China,F1,Hyderabad Consulate,18-04-2022,13-05-2022,25,12-07-2022,85,0,InfoCorp,582,19190,20,Bachelor's,Y,Y,Approved,0.134,China
APP000137,South America,Argentina,B1/B2,Mumbai Consulate,27-08-2022,06-09-2022,10,22-09-2022,26,7,TechSolutions,2231,19164,35,PhD,N,Y,Approved,0.233,Argentina
APP000138,Africa,South Africa,Tourist,Toronto Consulate,31-08-2022,29-09-2022,29,17-10-2022,47,10,N/A,0,0,40,Bachelor's,Y,Y,Approved,0.195,N/A
APP000139,Asia,China,Student (Other),New York Consulate,20-07-2024,04-08-2024,15,16-11-2024,119,1,FinServ,1046,18199,19,Bachelor's,Y,N,Denied,0.219,China
APP000140,South America,Brazil,Business,New York Consulate,08-05-2023,27-05-2023,19,19-05-2023,11,0,InfoCorp,192,9439,34,Bachelor's,N,Y,Approved,0.203,Brazil
APP000141,Asia,Japan,J1,Dubai Consulate,17-05-2022,28-06-2022,42,03-07-2022,47,8,InfoCorp,93,17526,39,Bachelor's,N,Y,Approved,0.174,Japan
APP000142,Africa,Ghana,Tourist,Dubai Consulate,06-10-2024,29-10-2024,23,23-12-2024,78,24,N/A,0,0,34,Diploma,Y,Y,Approved,0.19,N/A
APP000143,Europe,Italy,B1/B2,Bangalore Consulate,21-11-2022,29-11-2022,8,09-01-2023,49,8,N/A,0,0,36,Bachelor's,Y,Y,Approved,0.175,N/A
APP000144,Africa,Nigeria,Student (Other),London Consulate,15-07-2022,01-08-2022,17,29-10-2022,106,5,InfoCorp,322,6749,23,Bachelor's,Y,Y,Approved,0.208,Nigeria
APP000145,South America,Argentina,Work (Other),Chicago Consulate,07-06-2019,15-06-2019,8,24-09-2019,109,0,InfoCorp,579,17125,21,Bachelor's,Y,Y,Approved,0.094,Argentina
APP000146,Oceania,Australia,Student (Other),Berlin Consulate,30-04-2024,20-05-2024,20,09-07-2024,70,5,N/A,0,0,27,Bachelor's,Y,N,Approved,0.215,N/A
APP000147,South America,Brazil,H4,Tokyo Consulate,22-10-2022,20-11-2022,29,27-11-2022,36,6,MediHealth,907,30434,25,Diploma,Y,Y,Denied,0.186,Brazil
APP000148,Europe,Poland,Work (Other),Chennai Consulate,25-07-2018,27-08-2018,33,22-09-2018,59,5,FinServ,229,35815,27,Bachelor's,Y,Y,Withdrawn,0.181,Poland
APP000149,North America,Canada,L1,Hyderabad Consulate,06-02-2023,17-02-2023,11,04-06-2023,118,2,N/A,0,0,25,High School,N,Y,Approved,0.131,N/A
APP000150,North America,Canada,Student (Other),Bangalore Consulate,23-09-2022,05-10-2022,12,11-12-2022,79,3,BuildIt,362,12238,18,Diploma,Y,Y,Approved,0.278,Canada
APP000151,North America,USA,Work (Other),Delhi Consulate,19-01-2024,22-01-2024,3,07-05-2024,109,4,GlobalHire,216,50414,30,Bachelor's,Y,Y,Withdrawn,0.15,USA
APP000152,Asia,Japan,B1/B2,Tokyo Consulate,09-10-2018,20-10-2018,11,19-12-2018,71,1,TechSolutions,253,19152,19,PhD,N,N,Approved,0.191,Japan
APP000153,South America,Brazil,H1B,Hyderabad Consulate,27-03-2020,21-04-2020,25,11-08-2020,137,3,TechSolutions,278,47542,33,Bachelor's,Y,Y,Approved,0.181,Brazil
APP000154,Asia,Bangladesh,F1,Hyderabad Consulate,02-06-2019,28-06-2019,26,12-09-2019,102,8,N/A,0,0,22,Master's,Y,N,Approved,0.139,N/A
